method,tick,sample_id,label,class_sample_index,same_mean,different_mean,same_minus_different
weighted_jaccard,1,class091-coucal-sample00-src00000,91,0,0.11187448543045614,0.13550151539500618,-0.023627029964550045
weighted_jaccard,1,class091-coucal-sample01-src00316,91,1,0.10205793311871963,0.15623776834320657,-0.05417983522448694
weighted_jaccard,1,class091-coucal-sample02-src01583,91,2,0.10043597136305218,0.14139620013439042,-0.04096022877133823
weighted_jaccard,1,class091-coucal-sample03-src01629,91,3,0.03144088776666186,0.010698743078044757,0.020742144688617105
weighted_jaccard,1,class091-coucal-sample04-src03448,91,4,0.0319158224059056,0.014552431239053188,0.01736339116685241
weighted_jaccard,1,class171-Italian_greyhound-sample00-src00001,171,0,0.015011913982141726,0.012285618242376388,0.0027262957397653376
weighted_jaccard,1,class171-Italian_greyhound-sample01-src02164,171,1,0.13489235923733936,0.11082113614665925,0.024071223090680105
weighted_jaccard,1,class171-Italian_greyhound-sample02-src02599,171,2,0.12948851529377314,0.11244887539532647,0.017039639898446673
weighted_jaccard,1,class171-Italian_greyhound-sample03-src02775,171,3,0.013836368501275198,0.00981006243191516,0.004026306069360039
weighted_jaccard,1,class171-Italian_greyhound-sample04-src03793,171,4,0.07886223087653302,0.13383872606617614,-0.05497649518964312
weighted_jaccard,1,class505-coffeepot-sample00-src00013,505,0,0.20135038597007276,0.11082838065538596,0.09052200531468681
weighted_jaccard,1,class505-coffeepot-sample01-src01487,505,1,0.19923861883675165,0.10528584576516223,0.09395277307158942
weighted_jaccard,1,class505-coffeepot-sample02-src02782,505,2,0.18952554699155053,0.10013637586848048,0.08938917112307004
weighted_jaccard,1,class505-coffeepot-sample03-src05563,505,3,0.15781323182168674,0.11034059697665141,0.04747263484503533
weighted_jaccard,1,class505-coffeepot-sample04-src05824,505,4,0.19887475233785198,0.11485624021867136,0.08401851211918063
weighted_jaccard,1,class817-sports_car-sample00-src00019,817,0,0.18985210516416667,0.08402941340014577,0.1058226917640209
weighted_jaccard,1,class817-sports_car-sample01-src00787,817,1,0.15065205627738243,0.14240785615762236,0.00824420011976007
weighted_jaccard,1,class817-sports_car-sample02-src02853,817,2,0.17085380783375873,0.0853146325087942,0.08553917532496452
weighted_jaccard,1,class817-sports_car-sample03-src04513,817,3,0.17647520957415416,0.11408546535802941,0.062389744216124754
