method,tick,state_build_seconds,method_pairwise_seconds,n_samples,n_pairs,max_rss_mb
community_nmi,1,4.332315757870674,0.09240847080945969,25,300,2670.61328125
community_ari,1,4.332315757870674,0.0913364626467228,25,300,2670.61328125
delta_con,1,4.332315757870674,0.15353956073522568,25,300,2670.61328125
delta_con_attr,1,4.332315757870674,0.5409922413527966,25,300,2670.61328125
ged_approx,1,4.332315757870674,0.41712023690342903,25,300,2670.61328125
wl_kernel,1,4.332315757870674,0.02245292067527771,25,300,2670.61328125
gw_approx,1,4.332315757870674,0.007971800863742828,25,300,2670.61328125
dynamic_trajectory,1,4.332315757870674,0.021794836968183517,25,300,2670.61328125
community_nmi,5,8.633115485310555,0.10708510875701904,25,300,2804.1015625
community_ari,5,8.633115485310555,0.1076962985098362,25,300,2804.1015625
delta_con,5,8.633115485310555,0.23666799068450928,25,300,2804.1015625
delta_con_attr,5,8.633115485310555,3.195114452391863,25,300,2804.1015625
ged_approx,5,8.633115485310555,0.7530019134283066,25,300,2804.1015625
wl_kernel,5,8.633115485310555,0.07177434489130974,25,300,2804.1015625
gw_approx,5,8.633115485310555,0.008120950311422348,25,300,2804.1015625
dynamic_trajectory,5,8.633115485310555,0.6772476620972157,25,300,2804.1015625
community_nmi,10,11.329277273267508,0.13638362661004066,25,300,2923.65625
community_ari,10,11.329277273267508,0.12396201863884926,25,300,2923.65625
delta_con,10,11.329277273267508,0.41200902312994003,25,300,2923.65625
delta_con_attr,10,11.329277273267508,0.38332176581025124,25,300,2923.65625
ged_approx,10,11.329277273267508,0.4915608912706375,25,300,2923.65625
wl_kernel,10,11.329277273267508,0.045309051871299744,25,300,2923.65625
gw_approx,10,11.329277273267508,0.004765558987855911,25,300,2923.65625
dynamic_trajectory,10,11.329277273267508,0.5078161992132664,25,300,2923.65625
community_nmi,15,11.776854891330004,0.13195428624749184,25,300,3045.734375
community_ari,15,11.776854891330004,0.12730559334158897,25,300,3045.734375
delta_con,15,11.776854891330004,0.13516395539045334,25,300,3045.734375
delta_con_attr,15,11.776854891330004,0.37353919446468353,25,300,3045.734375
ged_approx,15,11.776854891330004,0.4937821626663208,25,300,3045.734375
wl_kernel,15,11.776854891330004,0.05143476650118828,25,300,3045.734375
gw_approx,15,11.776854891330004,0.004802010953426361,25,300,3045.734375
dynamic_trajectory,15,11.776854891330004,0.4195180982351303,25,300,3045.734375
community_nmi,20,9.69588067010045,0.12736545503139496,25,300,3168.65234375
community_ari,20,9.69588067010045,0.12594254687428474,25,300,3168.65234375
delta_con,20,9.69588067010045,0.7030709870159626,25,300,3168.65234375
delta_con_attr,20,9.69588067010045,0.39732229337096214,25,300,3168.65234375
ged_approx,20,9.69588067010045,0.4774136431515217,25,300,3168.65234375
wl_kernel,20,9.69588067010045,0.05155693367123604,25,300,3168.65234375
gw_approx,20,9.69588067010045,0.004791919142007828,25,300,3168.65234375
dynamic_trajectory,20,9.69588067010045,0.4164450950920582,25,300,3168.65234375
community_nmi,30,8.929659262299538,0.13146420195698738,25,300,3299.9375
community_ari,30,8.929659262299538,0.13134793937206268,25,300,3299.9375
delta_con,30,8.929659262299538,0.4537222497165203,25,300,3299.9375
delta_con_attr,30,8.929659262299538,0.39229122921824455,25,300,3299.9375
ged_approx,30,8.929659262299538,0.4680931568145752,25,300,3299.9375
wl_kernel,30,8.929659262299538,0.05651501566171646,25,300,3299.9375
gw_approx,30,8.929659262299538,0.004798222333192825,25,300,3299.9375
dynamic_trajectory,30,8.929659262299538,0.42094552144408226,25,300,3299.9375
community_nmi,40,10.507593307644129,0.13798358291387558,25,300,3429.82421875
community_ari,40,10.507593307644129,0.1344931572675705,25,300,3429.82421875
delta_con,40,10.507593307644129,2.3836449161171913,25,300,3429.82421875
delta_con_attr,40,10.507593307644129,0.41982007399201393,25,300,3429.82421875
ged_approx,40,10.507593307644129,0.4535994865000248,25,300,3429.82421875
wl_kernel,40,10.507593307644129,0.06024954840540886,25,300,3429.82421875
gw_approx,40,10.507593307644129,0.0048897527158260345,25,300,3429.82421875
dynamic_trajectory,40,10.507593307644129,0.42174429073929787,25,300,3429.82421875
community_nmi,50,11.126800436526537,0.23203765228390694,25,300,3562.90625
community_ari,50,11.126800436526537,0.22672699019312859,25,300,3562.90625
delta_con,50,11.126800436526537,3.0442579314112663,25,300,3562.90625
delta_con_attr,50,11.126800436526537,0.5494605451822281,25,300,3562.90625
ged_approx,50,11.126800436526537,0.6535042971372604,25,300,3562.90625
wl_kernel,50,11.126800436526537,0.09905539453029633,25,300,3562.90625
gw_approx,50,11.126800436526537,0.00840838998556137,25,300,3562.90625
dynamic_trajectory,50,11.126800436526537,0.7038551419973373,25,300,3562.90625
