method,tick,sample_id,label,class_sample_index,same_mean,different_mean,same_minus_different
community_nmi,1,class091-coucal-sample00-src00000,91,0,0.4701663344768701,0.40008893048286687,0.07007740399400325
community_nmi,1,class091-coucal-sample01-src00316,91,1,0.2718427432004535,0.44578303010581966,-0.17394028690536617
community_nmi,1,class091-coucal-sample02-src01583,91,2,0.298116629300357,0.5671872864196961,-0.2690706571193391
community_nmi,1,class091-coucal-sample03-src01629,91,3,0.357615268892832,0.23463421267535955,0.12298105621747246
community_nmi,1,class091-coucal-sample04-src03448,91,4,0.036488963579767116,0.2529929558371616,-0.21650399225739447
community_nmi,1,class171-Italian_greyhound-sample00-src00001,171,0,0.0901193293483515,0.21519240913529236,-0.12507307978694088
community_nmi,1,class171-Italian_greyhound-sample01-src02164,171,1,0.2312108373028225,0.4381981127401969,-0.20698727543737439
community_nmi,1,class171-Italian_greyhound-sample02-src02599,171,2,0.4574376135916892,0.3766473617334989,0.08079025185819033
community_nmi,1,class171-Italian_greyhound-sample03-src02775,171,3,0.43648400745150967,0.22407911691210672,0.21240489053940295
community_nmi,1,class171-Italian_greyhound-sample04-src03793,171,4,0.27665847643021935,0.3998009401078571,-0.12314246367763776
community_nmi,1,class505-coffeepot-sample00-src00013,505,0,0.33931953344231036,0.41236409754896197,-0.07304456410665161
community_nmi,1,class505-coffeepot-sample01-src01487,505,1,0.2946483259572116,0.3562566525024237,-0.061608326545212144
community_nmi,1,class505-coffeepot-sample02-src02782,505,2,0.32811167592075796,0.38777046095325235,-0.05965878503249439
community_nmi,1,class505-coffeepot-sample03-src05563,505,3,0.38895346785359697,0.3353746112018151,0.05357885665178186
community_nmi,1,class505-coffeepot-sample04-src05824,505,4,0.32748764288976767,0.44481991775954477,-0.1173322748697771
community_nmi,1,class817-sports_car-sample00-src00019,817,0,0.3499017947111716,0.3500303919472794,-0.00012859723610780804
community_nmi,1,class817-sports_car-sample01-src00787,817,1,0.3574093062995725,0.34473526745947847,0.012674038840094048
community_nmi,1,class817-sports_car-sample02-src02853,817,2,0.3468244434740126,0.3897970128910885,-0.04297256941707589
community_nmi,1,class817-sports_car-sample03-src04513,817,3,0.3159903134903218,0.3517409447571079,-0.03575063126678607
community_nmi,1,class817-sports_car-sample04-src04549,817,4,0.2743506937090774,0.3785651135035085,-0.10421441979443113
community_nmi,1,class980-volcano-sample00-src00002,980,0,0.43745445071227007,0.3066728719154081,0.13078157879686197
community_nmi,1,class980-volcano-sample01-src00863,980,1,0.3332245547052465,0.34466005704723573,-0.011435502341989257
community_nmi,1,class980-volcano-sample02-src01265,980,2,0.4965077937343523,0.41003031854682864,0.08647747518752363
community_nmi,1,class980-volcano-sample03-src01422,980,3,0.2403373523440203,0.3841215092824603,-0.14378415693844002
community_nmi,1,class980-volcano-sample04-src01813,980,4,0.5685043855303202,0.24738365297956877,0.32112073255075146
community_ari,1,class091-coucal-sample00-src00000,91,0,0.5360320676117891,0.46583611423092686,0.07019595338086226
community_ari,1,class091-coucal-sample01-src00316,91,1,0.2627010396516986,0.4895654578009451,-0.22686441814924652
community_ari,1,class091-coucal-sample02-src01583,91,2,0.2253576961464394,0.6100092067608199,-0.3846515106143805
community_ari,1,class091-coucal-sample03-src01629,91,3,0.16557128412537914,0.0787184894445963,0.08685279468078283
community_ari,1,class091-coucal-sample04-src03448,91,4,0.033646319188492764,0.24189691491738713,-0.20825059572889437
community_ari,1,class171-Italian_greyhound-sample00-src00001,171,0,-0.05102898920532083,0.06989619250284504,-0.12092518170816587
community_ari,1,class171-Italian_greyhound-sample01-src02164,171,1,0.13833104014057554,0.5153783930230433,-0.3770473528824678
community_ari,1,class171-Italian_greyhound-sample02-src02599,171,2,0.4090469351378132,0.37986055410549535,0.029186381032317854
community_ari,1,class171-Italian_greyhound-sample03-src02775,171,3,0.3275941992004763,0.06350430908505118,0.2640898901154251
community_ari,1,class171-Italian_greyhound-sample04-src03793,171,4,0.25431891009424995,0.4722572375917037,-0.21793832749745373
community_ari,1,class505-coffeepot-sample00-src00013,505,0,0.4135000542176175,0.4876257752288544,-0.07412572101123693
community_ari,1,class505-coffeepot-sample01-src01487,505,1,0.38380973862510614,0.3962229006509372,-0.012413162025831037
community_ari,1,class505-coffeepot-sample02-src02782,505,2,0.43613846246686633,0.41131391935803485,0.024824543108831476
community_ari,1,class505-coffeepot-sample03-src05563,505,3,0.43005486003448457,0.3436794192569549,0.08637544077752968
community_ari,1,class505-coffeepot-sample04-src05824,505,4,0.4214809697707647,0.48743651398887655,-0.06595554421811184
community_ari,1,class817-sports_car-sample00-src00019,817,0,0.4710582364012032,0.3880713812779487,0.08298685512325449
community_ari,1,class817-sports_car-sample01-src00787,817,1,0.45592692058867074,0.32590956976327223,0.1300173508253985
community_ari,1,class817-sports_car-sample02-src02853,817,2,0.47267693716911835,0.4658782418683357,0.006798695300782642
community_ari,1,class817-sports_car-sample03-src04513,817,3,0.4299925761401822,0.3381725079340393,0.09182006820614291
community_ari,1,class817-sports_car-sample04-src04549,817,4,0.3855372758623688,0.4151093521465179,-0.029572076284149096
community_ari,1,class980-volcano-sample00-src00002,980,0,0.5123318657679807,0.3249523310026158,0.18737953476536495
community_ari,1,class980-volcano-sample01-src00863,980,1,0.24511920321549463,0.4234728469586487,-0.17835364374315404
community_ari,1,class980-volcano-sample02-src01265,980,2,0.5931562399555701,0.43508707045155565,0.15806916950401445
community_ari,1,class980-volcano-sample03-src01422,980,3,0.32721064600977,0.42727246867744845,-0.10006182266767844
community_ari,1,class980-volcano-sample04-src01813,980,4,0.375,0.038429507565850216,0.33657049243414977
delta_con,1,class091-coucal-sample00-src00000,91,0,0.15961712948234286,0.16530753347183935,-0.005690403989496495
delta_con,1,class091-coucal-sample01-src00316,91,1,0.16249375775672842,0.17507059471353675,-0.012576836956808335
delta_con,1,class091-coucal-sample02-src01583,91,2,0.1565962526900908,0.16492600488196552,-0.008329752191874706
delta_con,1,class091-coucal-sample03-src01629,91,3,0.13272021102039422,0.12050027366324109,0.012219937357153127
